Tên trang sức	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Ngũ hành	Độ bền	Phòng ngự (Nội, ngoại)	Thuộc tính hỗ trợ 1	Trị số Thuộc tính hỗ trợ 1	Thuộc tính hỗ trợ 2	Trị số Thuộc tính hỗ trợ 2	Số trang bị	Đắng cấp yêu cầu	Giới tính yêu cầu	Thể hình yêu cầu	Môn phái yêu cầu	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	ì°±áễÚẫớẫẽàÄấ±ºũÊơấạểÃàÄẽễấắÀàéÍÃỷìệ	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Đánh giá đẳng cấp	Có/không thể giao dịch (0 được,1 không được,)	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Có/Không thể sửa (0Có/1Không)	Dự Lưu	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10476	10	10000	0	100						50499	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10477	10	10000	0	100						50500	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10478	10	10000	0	100						50501	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10479	10	10000	0	100						50502	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10480	10	10000	0	100						50503	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10481	10	10000	0	100						50504	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10482	10	10000	0	100						50505	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10483	10	10000	0	100						50506	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10484	10	10000	0	100						50507	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10485	10	10000	0	100						50508	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10486	10	10000	0	100						50509	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10487	10	10000	0	100						50510	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10488	10	10000	0	100						50511	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10489	10	10000	0	100						50512	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10490	10	10000	0	100						50513	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10491	10	10000	0	100						50514	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10492	10	10000	0	100						50515	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10493	10	10000	0	100						50516	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10494	10	10000	0	100						50517	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10495	10	10000	0	100						50518	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10496	10	10000	0	100						50519	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10497	10	10000	0	100						50520	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10498	10	10000	0	100						50521	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10499	10	10000	0	100						50522	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10500	10	10000	0	100						50523	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10501	10	10000	0	100						50524	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10502	10	10000	0	100						50525	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10503	10	10000	0	100						50526	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10504	10	10000	0	100						50527	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10505	10	10000	0	100						50528	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10506	10	10000	0	100						50529	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10507	10	10000	0	100						50530	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10508	10	10000	0	100						50531	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10509	10	10000	0	100						50532	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10510	10	10000	0	100						50533	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10511	10	10000	0	100						50534	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10512	10	10000	0	100						50535	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10513	10	10000	0	100						50536	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10514	10	10000	0	100						50537	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tống_Uy Hổ Nguyên Soái Hổ Phù	0	102	10515	10	10000	0	100						50538	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5f1.spr	\image\item\ring\ẵôắỹểĂ5f0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10516	10	10000	0	100						50475	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10517	10	10000	0	100						50476	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10518	10	10000	0	100						50477	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10519	10	10000	0	100						50478	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10520	10	10000	0	100						50479	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10521	10	10000	0	100						50480	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10522	10	10000	0	100						50481	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10523	10	10000	0	100						50482	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10524	10	10000	0	100						50483	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10525	10	10000	0	100						50484	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10526	10	10000	0	100						50485	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10527	10	10000	0	100						50486	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10528	10	10000	0	100						50487	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10529	10	10000	0	100						50488	790	2	4	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10530	10	10000	0	100						50489	790	1	1	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10531	10	10000	0	100						50490	790	1	2	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tống_Uy Hổ Nguyên Soái Lệnh Kỳ	0	102	10532	10	10000	0	100						50491	790	2	3	Tân thủ không thể dùng	\image\item\ring\ẵôắỹểĂ5h1.spr	\image\item\ring\ẵôắỹểĂ5h0120.spr	"Tứ linh thần, trấn bốn phương <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 12,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
